id,name,system
39,"Porta",189
144,"Feustel Gateway",208
188,"Russo Dock",144
356,"Born Station",205
372,"Ride Market",205
412,"Jahn Hangar",28
535,"Locke Station",205
568,"Isherwood Gateway",144
618,"Swift Orbital",87
660,"Walters Station",87
703,"Blackman Station",73
727,"Tshang City",89
833,"Bell Station",228
918,"Ingstad Enterprise",144
1138,"Merchiston Terminal",144
1175,"Mondeh Port",239
1190,"Laird Gateway",144
1220,"Gemar City",255
1262,"Killough Orbital",144
1263,"Baker Hub",205
1264,"Nearchus Hub",144
1318,"Thirsk Station",241
1320,"Bose Orbital",241
1324,"Malerba Terminal",241
1359,"Chilton Platform",47
1372,"Hannu Dock",144
1373,"Compton Hub",144
1464,"Sharma Platform",129
1521,"Hilmers Gateway",268
1546,"Roosa Market",174
1549,"den Berg Gateway",174
1661,"Elcano Platform",116
1663,"Ride Hub",214
1666,"Bondar Hub",12
1999,"Al Saud Port",255
2003,"Herodotus Dock",155
2176,"Fullerton Hub",205
2320,"Ochoa Station",263
2341,"Mastracchio Orbital",235
2381,"Carter Vision",259
2383,"Reisman Station",259
2421,"Ross City",207
2425,"Somerset Station",255
2428,"Durrance City",255
2431,"Macarthur Dock",255
2436,"vo Terminal",255
2437,"Qureshi Hub",255
2797,"Dzhanibekov City",240
2909,"Artsebarsky Gateway",98
2985,"Amis Orbital",107
3080,"Homer Hub",130
3184,"Wundt Terminal",39
3195,"Bresnik Terminal",178
3198,"Scott Port",42
3199,"Underwood Port",42
3293,"Rorschach Terminal",243
3297,"Springer Station",243
3298,"Mendez Terminal",243
3299,"Pausch Ring",243
3399,"Thurston Dock",262
3649,"Coke Hub",241
3655,"Kidman Settlement",201
3662,"Bolotov Port",201
3667,"Rushd Ring",188
3685,"Lindsey Orbital",188
3723,"Chretien Ring",44
3759,"Elcano Dock",78
3789,"Kinsey Ring",5
3846,"Hubble Gateway",12
3954,"Almagro Prospect",109
4200,"Levi-Montalcini Orbital",260
4223,"Avdeyev City",241
4264,"Makarov Dock",205
4278,"Hoffman Terminal",63
4439,"Michell Hub",130
4545,"Bamford Horizons",59
4549,"Salam Terminal",59
4552,"Boas Port",241
